name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,logloss,0.17984754306183207,11.16
2_Default_Xgboost,Xgboost,logloss,0.16066025489372152,10.9
3_Default_CatBoost,CatBoost,logloss,0.18038144056389516,21.72
4_Default_NeuralNetwork,Neural Network,logloss,0.5277390422301937,10.87
5_Default_ExtraTrees,Extra Trees,logloss,0.29430385667027814,24.74
6_Default_NearestNeighbors,Nearest Neighbors,logloss,0.7979944697085806,9.02
16_LightGBM,LightGBM,logloss,0.1628810736578431,8.82
7_Xgboost,Xgboost,logloss,0.16949584781676744,11.38
25_CatBoost,CatBoost,logloss,0.18164873813841995,142.12
34_ExtraTrees,Extra Trees,logloss,0.30807592448828364,22.0
43_NeuralNetwork,Neural Network,logloss,0.49395092564792414,11.18
52_NearestNeighbors,Nearest Neighbors,logloss,0.6120046406119045,9.89
17_LightGBM,LightGBM,logloss,0.17717906749500367,9.62
8_Xgboost,Xgboost,logloss,0.16303907588884475,12.41
26_CatBoost,CatBoost,logloss,0.1913510128815128,70.73
35_ExtraTrees,Extra Trees,logloss,0.2511151963855946,24.6
44_NeuralNetwork,Neural Network,logloss,0.44618841069313486,13.16
53_NearestNeighbors,Nearest Neighbors,logloss,0.6097986521011107,11.14
18_LightGBM,LightGBM,logloss,0.15995431565928808,11.68
9_Xgboost,Xgboost,logloss,0.27075194802077873,10.9
27_CatBoost,CatBoost,logloss,0.1775155488121839,33.43
36_ExtraTrees,Extra Trees,logloss,0.32394453007990737,27.08
45_NeuralNetwork,Neural Network,logloss,0.421163578867898,14.41
54_NearestNeighbors,Nearest Neighbors,logloss,0.6097986521011107,12.15
19_LightGBM,LightGBM,logloss,0.18106600647005097,13.52
10_Xgboost,Xgboost,logloss,0.4637493362901197,11.35
28_CatBoost,CatBoost,logloss,0.19320718425959044,57.86
37_ExtraTrees,Extra Trees,logloss,0.28041374963911153,28.61
46_NeuralNetwork,Neural Network,logloss,0.4430159226748625,14.49
55_NearestNeighbors,Nearest Neighbors,logloss,0.6120046406119045,13.0
20_LightGBM,LightGBM,logloss,0.16375472641151026,12.35
11_Xgboost,Xgboost,logloss,0.4326077969602213,12.39
29_CatBoost,CatBoost,logloss,0.17768960793126853,32.73
38_ExtraTrees,Extra Trees,logloss,0.33089598203969034,28.49
47_NeuralNetwork,Neural Network,logloss,0.29300670319831384,16.43
56_NearestNeighbors,Nearest Neighbors,logloss,0.9947084530964696,17.74
