iter	Passed	Remaining
0	54	54190
1	71	35442
2	91	30312
3	105	26154
4	116	23136
5	127	21085
6	135	19224
7	147	18274
8	157	17388
9	169	16770
10	180	16225
11	188	15502
12	197	14986
13	205	14481
14	213	14002
15	222	13695
16	241	13950
17	251	13710
18	262	13574
19	273	13377
20	284	13244
21	296	13175
22	306	13012
23	316	12860
24	324	12647
25	332	12445
26	340	12260
27	348	12090
28	356	11932
29	365	11815
30	374	11713
31	381	11541
32	389	11424
33	396	11275
34	405	11170
35	413	11071
36	423	11023
37	432	10949
38	442	10912
39	450	10804
40	459	10745
41	465	10621
42	475	10580
43	481	10467
44	491	10431
45	498	10329
46	510	10352
47	519	10298
48	527	10244
49	534	10156
50	543	10112
51	550	10035
52	559	9989
53	565	9903
54	574	9879
55	581	9800
56	590	9764
57	596	9693
58	606	9667
59	613	9605
60	622	9579
61	628	9510
62	637	9478
63	643	9410
64	651	9372
65	658	9324
66	666	9285
67	673	9224
68	679	9172
69	687	9134
70	694	9085
71	701	9039
72	707	8990
73	714	8944
74	721	8904
75	728	8857
76	735	8819
77	742	8772
78	748	8731
79	757	8708
80	764	8670
81	773	8654
82	780	8625
83	788	8602
84	796	8570
85	804	8546
86	810	8505
87	817	8477
88	824	8439
89	832	8414
90	838	8373
91	845	8346
92	854	8331
93	860	8293
94	867	8266
95	874	8233
96	882	8210
97	888	8175
98	894	8145
99	902	8118
100	908	8090
101	916	8067
102	922	8038
103	930	8012
104	936	7984
105	943	7953
106	950	7930
107	956	7901
108	964	7881
109	971	7861
110	979	7841
111	986	7820
112	995	7811
113	1003	7798
114	1012	7789
115	1020	7774
116	1029	7769
117	1036	7750
118	1043	7725
119	1051	7709
120	1059	7696
121	1067	7683
122	1074	7660
123	1082	7650
124	1089	7624
125	1096	7606
126	1103	7583
127	1110	7568
128	1117	7545
129	1126	7537
130	1134	7526
131	1142	7512
132	1150	7502
133	1158	7487
134	1167	7482
135	1175	7467
136	1187	7482
137	1198	7486
138	1208	7485
139	1220	7495
140	1231	7504
141	1241	7500
142	1251	7501
143	1260	7494
144	1269	7484
145	1280	7487
146	1289	7480
147	1300	7489
148	1311	7491
149	1318	7472
150	1327	7461
151	1333	7439
152	1341	7424
153	1347	7402
154	1354	7381
155	1361	7364
156	1367	7344
157	1375	7330
158	1381	7308
159	1388	7291
160	1397	7280
161	1404	7265
162	1411	7247
163	1418	7229
164	1425	7215
165	1432	7195
166	1439	7181
167	1446	7164
168	1452	7143
169	1459	7127
170	1466	7109
171	1474	7097
172	1481	7080
173	1488	7064
174	1496	7055
175	1503	7037
176	1510	7023
177	1518	7010
178	1526	6999
179	1532	6981
180	1540	6968
181	1546	6950
182	1555	6942
183	1561	6925
184	1568	6908
185	1578	6909
186	1587	6902
187	1597	6898
188	1605	6890
189	1614	6883
190	1624	6881
191	1632	6869
192	1640	6859
193	1646	6841
194	1654	6829
195	1661	6813
196	1668	6799
197	1675	6785
198	1682	6772
199	1691	6765
200	1697	6747
201	1705	6737
202	1712	6723
203	1719	6711
204	1726	6695
205	1732	6678
206	1740	6666
207	1746	6650
208	1754	6639
209	1761	6627
210	1770	6620
211	1777	6608
212	1786	6600
213	1793	6588
214	1802	6580
215	1810	6569
216	1817	6557
217	1824	6546
218	1831	6532
219	1855	6577
220	1861	6562
221	1869	6551
222	1875	6534
223	1882	6521
224	1889	6506
225	1895	6492
226	1903	6481
227	1911	6471
228	1919	6461
229	1925	6447
230	1935	6442
231	1941	6428
232	1949	6416
233	1958	6410
234	1965	6399
235	1974	6392
236	1983	6385
237	1991	6375
238	1999	6366
239	2006	6354
240	2013	6341
241	2020	6329
242	2027	6314
243	2035	6307
244	2041	6292
245	2050	6285
246	2058	6275
247	2067	6269
248	2075	6259
249	2083	6249
250	2090	6236
251	2098	6227
252	2104	6214
253	2110	6199
254	2120	6194
255	2126	6179
256	2134	6171
257	2140	6157
258	2149	6148
259	2155	6134
260	2162	6123
261	2169	6109
262	2175	6096
263	2183	6087
264	2189	6073
265	2198	6065
266	2204	6051
267	2212	6044
268	2219	6032
269	2226	6019
270	2234	6009
271	2240	5996
272	2248	5987
273	2255	5974
274	2263	5966
275	2270	5955
276	2278	5946
277	2285	5936
278	2295	5931
279	2301	5918
280	2308	5907
281	2316	5898
282	2323	5885
283	2331	5876
284	2337	5863
285	2344	5853
286	2351	5840
287	2357	5827
288	2364	5818
289	2371	5805
290	2379	5797
291	2386	5785
292	2395	5780
293	2403	5772
294	2413	5767
295	2423	5764
296	2434	5761
297	2444	5757
298	2453	5752
299	2464	5750
300	2472	5742
301	2482	5736
302	2491	5730
303	2499	5722
304	2522	5746
305	2530	5739
306	2537	5727
307	2545	5719
308	2552	5707
309	2560	5698
310	2566	5686
311	2574	5677
312	2581	5665
313	2588	5654
314	2595	5643
315	2601	5631
316	2609	5623
317	2616	5611
318	2624	5603
319	2631	5592
320	2639	5583
321	2645	5571
322	2652	5559
323	2660	5550
324	2667	5539
325	2675	5531
326	2683	5522
327	2691	5514
328	2698	5502
329	2705	5493
